combination_id,mean_ari,std_ari,gamma,kappa,graph_corr,dropout,residual_weight,ari_151669,ari_151670,ari_151671,ari_151672,ari_151673,ari_151674,ari_151675,ari_151676,ari_151507,ari_151508,ari_151509,ari_151510
5,0.4513262601538221,0.11907286115514178,0.5,2.0,0.4,0.5,0.2,0.19826936206509424,0.216312848233173,0.5946934424945973,0.5722301277736238,0.5203040915613891,0.45551614317007916,0.5078780539971878,0.4212431398701359,0.519180040663517,0.4794726811626512,0.48807522790078034,0.44273996295363555
22,0.4497338501926596,0.11964133531556122,0.5,2.0,0.3,0.3,0.3,0.20042328225892367,0.22703001152027455,0.5982555908740218,0.5589643978742029,0.4919649110381181,0.4685954733900338,0.5873891128494875,0.4299021661276673,0.5004942229292278,0.47501111612987024,0.44521284050037707,0.41356307681970994
3,0.4493619332336604,0.10242608166164233,0.5,0.5,0.3,0.5,0.1,0.20211474282420233,0.3676137787530524,0.5823286416932575,0.5598123023229136,0.5305724432834894,0.3985098611507465,0.5287683443022074,0.36357362680926175,0.44922377806215547,0.45562117189282536,0.5205506323654184,0.43365387534439426
32,0.4487216467461315,0.10507146243977442,1.0,0.5,0.5,0.5,0.3,0.2103777029182266,0.3780824145796,0.6129148195115756,0.5943548637686038,0.4896867524596114,0.43330690563331364,0.475604329713666,0.3573125184795594,0.47314498241022895,0.5329456324741451,0.3875453790031818,0.43938346000186596
9,0.447292487864158,0.1357042504042417,2.0,0.5,0.5,0.5,0.3,0.2170681424115045,0.3432236673261281,0.35962006827452264,0.7820340936777558,0.5386631072162091,0.3721939474766721,0.46546505772910324,0.3908398390385702,0.47190792687755867,0.5798529897586121,0.4062513017275462,0.4403897128557138
14,0.4446116052034979,0.12777839474156297,1.0,2.0,0.3,0.3,0.2,0.19976749196150198,0.2215089570237478,0.5902707952447311,0.5603651067532545,0.6231141126877705,0.37574226370384,0.509571381337212,0.42545303666274326,0.47187772820095014,0.49706243461473665,0.37332949869332904,0.48727645555815763
19,0.44013027964381973,0.11624248580665657,0.5,0.5,0.3,0.5,0.2,0.20165945340616528,0.2382553537587049,0.6041507000219158,0.5598123023229136,0.4810492127629635,0.3806832679737024,0.5124359848962411,0.42322535603053574,0.44922377806215547,0.5518338433321737,0.44247870828293123,0.4367553948754337
30,0.43259330182081124,0.10076998246974145,2.0,0.5,0.4,0.5,0.3,0.20067486084741126,0.3516493765241408,0.6090483958944033,0.5301706751715549,0.36864985428256164,0.42708016147060607,0.4225676022957721,0.40452767813242285,0.45592796532831853,0.5032608104157024,0.39191601030658274,0.5256462311802585
25,0.42540718057454957,0.09085246282513322,2.0,2.0,0.5,0.5,0.1,0.2086205224942365,0.36486616574989955,0.3767082827041837,0.5655824491239627,0.4312275784688135,0.380277054830836,0.47955431710060087,0.360919166193844,0.48508597593253505,0.5307035876546743,0.4666102355532057,0.4547308310878024
33,0.41555474320157654,0.10303916906061897,0.5,2.0,0.3,0.1,0.3,0.17477523329874772,0.2551025844467337,0.38376478563437344,0.5562443373435962,0.464856815576516,0.48579650251485235,0.42123137755700124,0.403560358916409,0.5234624992153555,0.47493965375092784,0.42852879687713336,0.41439397328727234
